Crash Year,crash_month,wet,snow,total
2004,1,88,125,214
2004,2,54,8,64
2004,3,61,9,73
2004,4,21,1,26
2004,5,64,0,69
2004,6,46,0,52
2004,7,27,0,34
2004,8,49,0,57
2004,9,4,0,13
2004,10,84,0,94
2004,11,120,1,132
2004,12,110,55,177
2005,1,97,100,198
2005,2,86,46,134
2005,3,39,29,71
2005,4,30,1,35
2005,5,36,0,41
2005,6,25,0,31
2005,7,28,0,35
2005,8,14,0,22
2005,9,43,0,52
2005,10,15,1,26
2005,11,64,42,117
2005,12,95,66,173
2006,1,110,4,115
2006,2,49,11,62
2006,3,60,0,63
2006,4,39,0,43
2006,5,81,0,86
2006,6,25,0,31
2006,7,38,0,45
2006,8,29,0,37
2006,9,77,0,86
2006,10,85,0,95
2006,11,76,0,87
2006,12,80,12,104
2007,1,112,26,139
2007,2,68,39,109
2007,3,36,25,64
2007,4,46,3,53
2007,5,28,0,33
2007,6,24,0,30
2007,7,24,0,31
2007,8,37,0,45
2007,9,17,0,26
2007,10,82,0,92
2007,11,102,1,114
2007,12,104,39,155
2008,1,80,63,144
2008,2,55,83,140
2008,3,36,57,96
2008,4,11,0,15
2008,5,35,0,40
2008,6,30,0,36
2008,7,18,0,25
2008,8,9,0,17
2008,9,29,0,38
2008,10,47,0,57
2008,11,77,18,106
2008,12,73,81,166
2009,1,67,168,236
2009,2,36,45,83
2009,3,39,0,42
2009,4,49,4,57
2009,5,19,0,24
2009,6,37,0,43
2009,7,18,0,25
2009,8,38,0,46
2009,9,35,0,44
2009,10,97,0,107
2009,11,34,0,45
2009,12,60,56,128
2010,1,44,52,97
2010,2,46,93,141
2010,3,22,0,25
2010,4,27,1,32
2010,5,56,0,61
2010,6,20,0,26
2010,7,32,0,39
2010,8,18,0,26
2010,9,39,0,48
2010,10,21,0,31
2010,11,49,0,60
2010,12,69,31,112
2011,1,59,120,180
2011,2,54,97,153
2011,3,41,16,60
2011,4,68,0,72
2011,5,66,0,71
2011,6,27,0,33
2011,7,14,0,21
2011,8,15,0,23
2011,9,85,0,94
2011,10,61,0,71
2011,11,71,3,85
2011,12,96,5,113
2012,1,61,47,109
2012,2,50,39,91
2012,3,35,1,39
2012,4,33,0,37
2012,5,24,0,29
2012,6,29,0,35
2012,7,15,0,22
2012,8,27,0,35
2012,9,36,0,45
2012,10,111,0,121
2012,11,15,0,26
2012,12,103,34,149
2013,1,70,76,147
2013,2,58,61,121
2013,3,37,3,43
2013,4,63,0,67
2013,5,41,0,46
2013,6,52,0,58
2013,7,35,0,42
2013,8,30,0,38
2013,9,28,0,37
2013,10,77,0,87
2013,11,76,18,105
2013,12,77,87,176
2014,1,60,267,328
2014,2,40,106,148
2014,3,42,33,78
2014,4,35,3,42
2014,5,45,0,50
2014,6,45,0,51
2014,7,19,0,26
2014,8,31,0,39
2014,9,33,0,42
2014,10,85,0,95
2014,11,70,39,120
2014,12,52,2,66
2015,1,59,88,148
2015,2,63,88,153
2015,3,37,16,56
2015,4,46,0,50
2015,5,49,0,54
2015,6,39,0,45
2015,7,23,0,30
2015,8,24,0,32
2015,9,30,0,39
2015,10,41,0,51
2015,11,65,33,109
2015,12,78,3,93
2016,1,81,41,123
2016,2,31,55,88
2016,3,60,42,105
2016,4,88,2,94
2016,5,37,0,42
2016,6,17,0,23
2016,7,24,0,31
2016,8,21,0,29
2016,9,57,0,66
2016,10,63,0,73
2016,11,49,1,61
2016,12,80,57,149
